strategy,scenario,geotype,area_km2,cost,RAN.macro,RAN.small.cells,backhaul.macro,civil.works.macro,civil.works.small
Spectrum Integration,Scenario 3 (300 Mbps),Suburban 1,634.8,46589016.5,37155919.8,0,0,9433096.704,0
Hybrid,Scenario 1 (30 Mbps),Suburban 2,1199.4,108764874.3,42168657.28,9014595.66,0,10705723.99,46875897.43
Small Cells,Scenario 1 (30 Mbps),Suburban 2,1199.4,55890493.09,0,9014595.66,0,0,46875897.43
Spectrum Integration,Scenario 1 (30 Mbps),Suburban 2,1199.4,52874381.27,42168657.28,0,0,10705723.99,0
Hybrid,Scenario 2 (100 Mbps),Suburban 2,1199.4,121551166,42168657.28,11076900.76,0,10705723.99,57599883.98
Small Cells,Scenario 2 (100 Mbps),Suburban 2,1199.4,72406432.72,0,11678456.89,0,0,60727975.83
Spectrum Integration,Scenario 2 (100 Mbps),Suburban 2,1199.4,52874381.27,42168657.28,0,0,10705723.99,0
Hybrid,Scenario 3 (300 Mbps),Suburban 2,1199.4,286289941.4,42168657.28,37647670.99,0,10705723.99,195767889.1
Small Cells,Scenario 3 (300 Mbps),Suburban 2,1199.4,237145208.1,0,38249227.11,0,0,198895981
Spectrum Integration,Scenario 3 (300 Mbps),Suburban 2,1199.4,52874381.27,42168657.28,0,0,10705723.99,0
Hybrid,Scenario 1 (30 Mbps),Urban,158,30692232.79,18069206.92,1296070.819,0,4587386.805,6739568.257
Small Cells,Scenario 1 (30 Mbps),Urban,158,9610259.198,0,1550041.806,0,0,8060217.392
Spectrum Integration,Scenario 1 (30 Mbps),Urban,158,22656593.72,18069206.92,0,0,4587386.805,0
Hybrid,Scenario 2 (100 Mbps),Urban,158,63851710.66,18069206.92,6644373.7,0,4587386.805,34550743.24
Small Cells,Scenario 2 (100 Mbps),Urban,158,42946291.61,0,6926821.228,0,0,36019470.39
Spectrum Integration,Scenario 2 (100 Mbps),Urban,158,22656593.72,18069206.92,0,0,4587386.805,0
Hybrid,Scenario 3 (300 Mbps),Urban,158,159097517.6,18069206.92,22006600.62,0,4587386.805,114434323.2
Small Cells,Scenario 3 (300 Mbps),Urban,158,138192098.5,0,22289048.15,0,0,115903050.4
Spectrum Integration,Scenario 3 (300 Mbps),Urban,158,22656593.72,18069206.92,0,0,4587386.805,0
