"","scenario","strategy","geotype","spectrum_availability","pop_density_km2","user_speed_mbps","active_users","demand_mbps_km2","max_user_demand_lte_mbps_km2","max_user_demand_5g_mbps_km2","max_user_demand_total_mbps_km2"
"98","Scenario 1 (30 Mbps)","Small Cells","Suburban 2","All",2931.96,30,13.9,416.93,15.31,0,15.31
"99","Scenario 3 (300 Mbps)","Spectrum Integration","Suburban 2","All",2931.96,300,13.9,4169.28,15.31,5.73,21.04
"100","Scenario 2 (100 Mbps)","Spectrum Integration","Suburban 2","Limited",2847.76,100,13.5,1349.84,14.64,5.35,19.99
"101","Scenario 2 (100 Mbps)","Small Cells","Suburban 2","Limited",2847.76,100,13.5,1349.84,14.64,0,14.64
"102","Scenario 1 (30 Mbps)","Spectrum Integration","Suburban 2","Limited",2847.76,30,13.5,404.95,14.64,5.35,19.99
"103","Scenario 1 (30 Mbps)","Hybrid","Suburban 2","Limited",2847.76,30,13.5,404.95,14.64,5.35,19.99
"104","Scenario 3 (300 Mbps)","Small Cells","Suburban 2","Limited",2847.76,300,13.5,4049.52,14.64,0,14.64
"105","Scenario 3 (300 Mbps)","Hybrid","Suburban 2","Limited",2847.76,300,13.5,4049.52,14.64,5.35,19.99
"106","Scenario 2 (100 Mbps)","Hybrid","Suburban 2","Limited",2847.76,100,13.5,1349.84,14.64,5.35,19.99
"107","Scenario 1 (30 Mbps)","Small Cells","Suburban 2","Limited",2847.76,30,13.5,404.95,14.64,0,14.64
"108","Scenario 3 (300 Mbps)","Spectrum Integration","Suburban 2","Limited",2847.76,300,13.5,4049.52,14.64,5.35,19.99
"109","Scenario 1 (30 Mbps)","Spectrum Integration","Urban","All",11790.32,30,55.89,1676.58,12.43,4.65,17.08
"110","Scenario 1 (30 Mbps)","Small Cells","Urban","All",11790.32,30,55.89,1676.58,12.43,0,12.43
"111","Scenario 1 (30 Mbps)","Hybrid","Urban","All",11790.32,30,55.89,1676.58,12.43,4.65,17.08
"112","Scenario 3 (300 Mbps)","Small Cells","Urban","All",11790.32,300,55.89,16765.8,12.43,0,12.43
"113","Scenario 3 (300 Mbps)","Hybrid","Urban","All",11790.32,300,55.89,16765.8,12.43,4.65,17.08
"114","Scenario 2 (100 Mbps)","Small Cells","Urban","All",11790.32,100,55.89,5588.6,12.43,0,12.43
"115","Scenario 2 (100 Mbps)","Hybrid","Urban","All",11790.32,100,55.89,5588.6,12.43,4.65,17.08
"116","Scenario 2 (100 Mbps)","Spectrum Integration","Urban","All",11790.32,100,55.89,5588.6,12.43,4.65,17.08
"117","Scenario 3 (300 Mbps)","Spectrum Integration","Urban","All",11790.32,300,55.89,16765.8,12.43,4.65,17.08
"118","Scenario 1 (30 Mbps)","Spectrum Integration","Urban","Limited",9520.01,30,45.12,1353.74,11.2,4.11,15.31
"119","Scenario 1 (30 Mbps)","Small Cells","Urban","Limited",9520.01,30,45.12,1353.74,11.2,0,11.2
"120","Scenario 1 (30 Mbps)","Hybrid","Urban","Limited",9520.01,30,45.12,1353.74,11.2,4.11,15.31
"121","Scenario 3 (300 Mbps)","Small Cells","Urban","Limited",9520.01,300,45.12,13537.44,11.2,0,11.2
"122","Scenario 3 (300 Mbps)","Hybrid","Urban","Limited",9520.01,300,45.12,13537.44,11.2,4.11,15.31
"123","Scenario 2 (100 Mbps)","Small Cells","Urban","Limited",9520.01,100,45.12,4512.48,11.2,0,11.2
"124","Scenario 2 (100 Mbps)","Hybrid","Urban","Limited",9520.01,100,45.12,4512.48,11.2,4.11,15.31
"125","Scenario 2 (100 Mbps)","Spectrum Integration","Urban","Limited",9520.01,100,45.12,4512.48,11.2,4.11,15.31
"126","Scenario 3 (300 Mbps)","Spectrum Integration","Urban","Limited",9520.01,300,45.12,13537.44,11.2,4.11,15.31
