strategy,scenario,municipalities,capacity_margin,iso_code,id
Hybrid,Scenario 1 (30 Mbps),Alblasserdam,11197.22403,NLD,Alblasserdam
Small Cells,Scenario 1 (30 Mbps),Alblasserdam,10752.11451,NLD,Alblasserdam
Spectrum Integration,Scenario 1 (30 Mbps),Alblasserdam,-1455.593949,NLD,Alblasserdam
Hybrid,Scenario 2 (100 Mbps),Alblasserdam,5241.016521,NLD,Alblasserdam
Small Cells,Scenario 2 (100 Mbps),Alblasserdam,5162.318538,NLD,Alblasserdam
Spectrum Integration,Scenario 2 (100 Mbps),Alblasserdam,-8667.964149,NLD,Alblasserdam
Hybrid,Scenario 3 (300 Mbps),Alblasserdam,2750.737706,NLD,Alblasserdam
Small Cells,Scenario 3 (300 Mbps),Alblasserdam,2724.410171,NLD,Alblasserdam
Spectrum Integration,Scenario 3 (300 Mbps),Alblasserdam,-29274.73615,NLD,Alblasserdam
Hybrid,Scenario 1 (30 Mbps),Albrandswaard,26969.33317,NLD,Albrandswaard
Small Cells,Scenario 1 (30 Mbps),Albrandswaard,26384.77736,NLD,Albrandswaard
Spectrum Integration,Scenario 1 (30 Mbps),Albrandswaard,-2156.021409,NLD,Albrandswaard
Hybrid,Scenario 2 (100 Mbps),Albrandswaard,19576.07248,NLD,Albrandswaard
Small Cells,Scenario 2 (100 Mbps),Albrandswaard,19326.03205,NLD,Albrandswaard
Spectrum Integration,Scenario 2 (100 Mbps),Albrandswaard,-12204.63649,NLD,Albrandswaard
Hybrid,Scenario 3 (300 Mbps),Albrandswaard,8204.833662,NLD,Albrandswaard
Small Cells,Scenario 3 (300 Mbps),Albrandswaard,8007.163683,NLD,Albrandswaard
Spectrum Integration,Scenario 3 (300 Mbps),Albrandswaard,-40914.96529,NLD,Albrandswaard
Hybrid,Scenario 1 (30 Mbps),"Albrandswaard,Barendrecht",8420.336921,NLD,"Albrandswaard,Barendrecht"
Small Cells,Scenario 1 (30 Mbps),"Albrandswaard,Barendrecht",8240.455817,NLD,"Albrandswaard,Barendrecht"
Spectrum Integration,Scenario 1 (30 Mbps),"Albrandswaard,Barendrecht",-1009.593456,NLD,"Albrandswaard,Barendrecht"
Hybrid,Scenario 2 (100 Mbps),"Albrandswaard,Barendrecht",4516.776282,NLD,"Albrandswaard,Barendrecht"
Small Cells,Scenario 2 (100 Mbps),"Albrandswaard,Barendrecht",4336.895178,NLD,"Albrandswaard,Barendrecht"
Spectrum Integration,Scenario 2 (100 Mbps),"Albrandswaard,Barendrecht",-4913.154096,NLD,"Albrandswaard,Barendrecht"
Hybrid,Scenario 3 (300 Mbps),"Albrandswaard,Barendrecht",0.0,NLD,"Albrandswaard,Barendrecht"
Small Cells,Scenario 3 (300 Mbps),"Albrandswaard,Barendrecht",0.0,NLD,"Albrandswaard,Barendrecht"
Spectrum Integration,Scenario 3 (300 Mbps),"Albrandswaard,Barendrecht",-16066.1845,NLD,"Albrandswaard,Barendrecht"
Hybrid,Scenario 1 (30 Mbps),Alkmaar,-9705.25467,NLD,Alkmaar
Small Cells,Scenario 1 (30 Mbps),Alkmaar,-11573.49525,NLD,Alkmaar
Spectrum Integration,Scenario 1 (30 Mbps),Alkmaar,-9705.25467,NLD,Alkmaar
Hybrid,Scenario 2 (100 Mbps),Alkmaar,-48664.81167,NLD,Alkmaar
Small Cells,Scenario 2 (100 Mbps),Alkmaar,-50533.05225,NLD,Alkmaar
Spectrum Integration,Scenario 2 (100 Mbps),Alkmaar,-48664.81167,NLD,Alkmaar
Hybrid,Scenario 3 (300 Mbps),Alkmaar,-159977.8317,NLD,Alkmaar
Small Cells,Scenario 3 (300 Mbps),Alkmaar,-161846.0723,NLD,Alkmaar
Spectrum Integration,Scenario 3 (300 Mbps),Alkmaar,-159977.8317,NLD,Alkmaar
Hybrid,Scenario 1 (30 Mbps),"Alkmaar,Heiloo",-834.45075,NLD,"Alkmaar,Heiloo"
Small Cells,Scenario 1 (30 Mbps),"Alkmaar,Heiloo",-968.54121,NLD,"Alkmaar,Heiloo"
Spectrum Integration,Scenario 1 (30 Mbps),"Alkmaar,Heiloo",-834.45075,NLD,"Alkmaar,Heiloo"
Hybrid,Scenario 2 (100 Mbps),"Alkmaar,Heiloo",-3951.22707,NLD,"Alkmaar,Heiloo"
Small Cells,Scenario 2 (100 Mbps),"Alkmaar,Heiloo",-4085.31753,NLD,"Alkmaar,Heiloo"
Spectrum Integration,Scenario 2 (100 Mbps),"Alkmaar,Heiloo",-3951.22707,NLD,"Alkmaar,Heiloo"
Hybrid,Scenario 3 (300 Mbps),"Alkmaar,Heiloo",-12856.30227,NLD,"Alkmaar,Heiloo"
